Product Name,Category,Sub-Category,num_orders,total_sales,total_profit,avg_discount
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,3,11099.96,-8879.97,0.53
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,4,16829.9,-4589.97,0.4
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,1,7999.98,-3839.99,0.5
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,5,9917.64,-2876.12,0.28
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,7,9544.73,-1934.4,0.35
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,6,17965.07,-1878.17,0.45
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,1,22638.48,-1811.08,0.5
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,6,16656.2,-1299.18,0.1
Balt Solid Wood Round Tables,Furniture,Tables,4,6518.75,-1201.06,0.2
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,3,1706.25,-1148.44,0.48
